年份,区块,AUC,AUC_FILL,Vmax,Tpeak,UpSlope,DnSlope,FWHM,DL_vb,DL_va,DL_m1,DL_m2,DL_s1,DL_s2,SeasonLen,T,P,S,Y,AUC_T,AUC_P,Vmax_T,FWHM_P,T2,P2,HDD,CDD,B_A1,B_A10,B_A2,B_A3,B_A4,B_A5,B_A6,B_A7,B_A8,B_A9
2016,A1,196.90500000000003,112.905,2.421,120.0,0.03533928571428568,-0.016877142857142872,90.0,0.42092377625521704,2.6056601138169535,87.14974402014447,162.19574575168474,10.886428052780294,29.999999999997314,75.04600173154027,13.2,102,672,564,2599.146,20084.31,31.957199999999997,9180.0,174.23999999999998,10404,0.0,0.0,True,False,False,False,False,False,False,False,False,False
2016,A10,372.795,218.515,4.721,110.0,0.0843342857142857,-0.028982142857142852,90.0,0.8651918681750954,4.854266709956307,88.49542158533087,162.35241871572276,8.659925775904556,29.999999999998867,73.85699713039189,15.9,149,726,800,5927.440500000001,55546.455,75.0639,13410.0,252.81,22201,0.0,0.0,False,True,False,False,False,False,False,False,False,False
2016,A2,201.125,111.55,2.622,110.0,0.03596857142857142,-0.014782142857142855,100.0,0.5031381761677804,2.516519739966131,86.98012473792592,163.23258484122584,13.01351858225162,29.999999999999996,76.25246010329992,13.1,105,663,617,2634.7374999999997,21118.125,34.3482,10500.0,171.60999999999999,11025,0.0,0.0,False,False,True,False,False,False,False,False,False,False
2016,A3,212.02499999999998,125.76000000000002,2.754,110.0,0.05171999999999998,-0.01829999999999999,90.0,0.3929408813543452,3.0669814437500014,87.8296098002297,157.462735247883,9.334710256821271,29.999999999999996,69.63312544765328,13.9,100,660,597,2947.1474999999996,21202.499999999996,38.2806,9000.0,193.21,10000,0.0,0.0,False,False,False,True,False,False,False,False,False,False
2016,A4,237.60500000000002,136.04500000000002,2.971,110.0,0.051842857142857135,-0.017757142857142853,90.0,0.2234822651003329,3.3374088697138538,83.62998407527843,168.01659663467242,11.600374357051496,29.999999999999996,84.386612559394,13.7,114,726,560,3255.1885,27086.97,40.7027,10260.0,187.68999999999997,12996,0.0,0.0,False,False,False,False,True,False,False,False,False,False
2016,A5,279.825,166.125,3.578,120.0,0.054624999999999944,-0.0317714285714286,90.0,0.6863668947909684,3.0254204026399343,88.81004274832739,164.9835213450511,7.564713058927007,15.196054590894267,76.1734785967237,14.4,122,687,690,4029.48,34138.65,51.523199999999996,10980.0,207.36,14884,0.0,0.0,False,False,False,False,False,True,False,False,False,False
2016,A6,263.125,159.685,3.528,110.0,0.061222857142857114,-0.026935714285714257,90.0,1.5149766962335869,9.999999999285608,93.32620182185993,101.12584812209616,13.019698495624924,24.5548879863774,7.799646300236233,14.1,115,722,672,3710.0625,30259.375,49.7448,10350.0,198.81,13225,0.0,0.0,False,False,False,False,False,False,True,False,False,False
2016,A7,325.955,191.26,4.212,120.0,0.06278928571428566,-0.02914857142857146,90.0,0.7472950691919603,4.269042649847046,89.38783569837385,164.75408447411613,9.702717587210568,29.999999999999996,75.36624877574228,14.9,135,706,684,4856.7294999999995,44003.924999999996,62.7588,12150.0,222.01000000000002,18225,0.0,0.0,False,False,False,False,False,False,False,True,False,False
2016,A8,296.63,173.17000000000002,3.731,110.0,0.06847999999999999,-0.020503571428571423,90.0,0.4464037451446309,3.8099282352994037,86.55038851991502,174.69361786999826,8.808003219707688,29.999999999986358,88.14322935008325,14.5,134,738,796,4301.135,39748.42,54.0995,12060.0,210.25,17956,0.0,0.0,False,False,False,False,False,False,False,False,True,False
2016,A9,325.735,190.155,4.226,120.0,0.06539999999999993,-0.02794571428571432,90.0,1.044381957422405,3.874718712811757,90.18459385356901,159.4434311284344,6.8975036820888675,29.999999999999996,69.2588372748654,15.3,144,753,788,4983.7455,46905.840000000004,64.65780000000001,12960.0,234.09000000000003,20736,0.0,0.0,False,False,False,False,False,False,False,False,False,True
2017,A1,187.165,110.845,2.531,110.0,0.04644285714285711,-0.016221428571428567,90.0,0.48091596772934364,2.4256515069945332,89.13760967275539,159.76127510966353,7.0097341120439305,29.999999999999705,70.62366543690814,12.8,100,685,645,2395.712,18716.5,32.396800000000006,9000.0,163.84000000000003,10000,0.0,0.0,True,False,False,False,False,False,False,False,False,False
